canonical_smiles,standard_value
O=c1c2ccc(S(=O)(=O)c3ccc4c(=O)n5c6ccccc6nc5c5cccc3c45)c3cccc(c32)c2nc3ccccc3n12,14000
Brc1cccc[n+]1-c1ccc2cc(-[n+]3ccccc3Br)ccc2c1,11700
Nc1nc(-c2ccccc2)nc2c1[n+]([O-])c1ccccc1[n+]2[O-],1600
O=C1c2cc(Br)ccc2-c2ccc3c4ccc5c6c(ccc(c7ccc1c2c73)c64)C(=O)c1cc(Br)ccc1-5,7700
CCOC(=O)C(C#N)C1c2cc(Br)ccc2OC(N)C1C(=O)OCC,9000
Cc1cc(Cl)cc(C(=O)Nc2cc(S(=O)(=O)c3ccc(Cl)cc3)ccc2Cl)c1O,3300
COc1ccc2c(c1)CCc1cc(OC)ccc1/[N+]([O-])=[N+]\2[O-],10400
Cl.N=C(N)c1ccc(/N=N/c2c(O)ccc3c2[nH]c2ccccc23)cc1,5800
COc1ccc2c(c1)C(=O)C1C=C([N+]#N)C=CC1N2.[Cl-],10400
CCCC[C@H]1C(=O)O[C@H](C)[C@H](NC(=O)c2cccc(NC=O)c2O)C(=O)O[C@@H](C)[C@@H]1OC(=O)CC(C)C,2000
CCSCCCCC(c1ccc(O)cc1)C(C)(CC)c1ccc(O)cc1,9000
CSCC[C@H](NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCC(=O)O)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)O,300
